lp,ilo?? nukleotydów,l,d?ugo??,time [ms],U?yte oligonukleotydy z powtórzeniami,U?yte nukleotydy
0,160,10,209,468,168,160
1,120,10,209,283,127,120
2,160,10,209,432,161,160
3,120,10,209,262,113,111
4,160,10,209,394,152,152
5,120,10,209,228,110,110
6,240,10,309,1031,240,239
7,180,10,309,514,179,176
8,240,10,309,861,218,218
9,180,10,309,574,179,175
10,240,10,309,899,245,240
11,180,10,309,584,181,180
12,320,10,409,1557,310,310
13,240,10,409,828,221,221
14,320,10,409,1491,320,317
15,240,10,409,839,234,234
16,320,10,409,1596,316,316
17,240,10,409,860,236,232
18,400,10,509,2412,405,400
19,300,10,509,1327,295,286
20,400,10,509,3185,389,383
21,300,10,509,1285,290,284
22,400,10,509,2328,391,391
23,300,10,509,4120,289,285
24,498,10,509,3967,497,494
25,492,10,509,3809,488,487
26,488,10,509,3794,502,486
27,482,10,509,3614,483,482
28,468,10,509,3492,474,465
29,280,10,209,787,202,202
30,280,10,209,2065,203,203
31,280,10,209,1156,202,202
32,420,10,309,5233,302,302
33,420,10,309,1825,302,302
34,420,10,309,1753,302,302
35,560,10,409,6131,402,402
36,560,10,409,4808,402,402
37,560,10,409,11438,402,402
38,700,10,509,9824,502,502
39,700,10,509,6887,503,503
40,700,10,509,14339,501,501
41,220,10,209,1288,200,200
42,220,10,209,1595,200,200
43,220,10,209,1178,204,202
44,330,10,309,3291,304,303
45,330,10,309,2551,289,284
46,330,10,309,2861,290,290
47,440,10,409,5360,401,401
48,440,10,409,4366,392,392
49,440,10,409,4479,395,395
50,550,10,509,9785,501,501
51,550,10,509,10562,491,491
52,550,10,509,8993,501,501
