0;160;10;209;93;160;160;207
1;120;10;209;47;120;120;207
2;160;10;209;63;155;155;209
3;120;10;209;33;106;105;209
4;160;10;209;62;156;154;209
5;120;10;209;36;113;107;209
6;240;10;309;121;239;239;309
7;180;10;309;74;170;167;309
8;240;10;309;130;238;234;309
9;180;10;309;77;172;168;309
10;240;10;309;125;232;222;309
11;180;10;309;72;170;164;309
12;320;10;409;205;310;308;406
13;240;10;409;118;227;218;409
14;320;10;409;206;311;307;409
15;240;10;409;119;232;232;408
16;320;10;409;209;310;310;409
17;240;10;409;120;224;222;409
18;400;10;509;317;397;397;509
19;300;10;509;174;281;277;507
20;400;10;509;293;375;373;509
21;300;10;509;185;282;275;509
22;400;10;509;301;385;378;509
23;300;10;509;176;282;282;504
24;498;10;509;489;487;477;509
25;492;10;509;467;492;486;509
26;488;10;509;458;488;486;509
27;482;10;509;454;478;471;509
28;468;10;509;420;464;459;509
29;280;10;209;112;200;200;209
30;280;10;209;110;200;200;209
31;280;10;209;108;200;200;209
32;420;10;309;234;295;295;309
33;420;10;309;226;281;280;309
34;420;10;309;225;300;300;309
35;560;10;409;385;400;400;409
36;560;10;409;390;400;400;409
37;560;10;409;389;386;386;409
38;700;10;509;629;500;500;509
39;700;10;509;624;500;500;509
40;700;10;509;611;499;499;509
41;220;10;209;89;178;171;209
42;220;10;209;98;199;199;209
43;220;10;209;99;194;191;209
44;330;10;309;199;292;290;309
45;330;10;309;191;286;278;309
46;330;10;309;203;291;291;309
47;440;10;409;326;381;380;407
48;440;10;409;339;385;385;409
49;440;10;409;315;382;378;409
50;550;10;509;509;489;489;509
51;550;10;509;548;483;483;506
52;550;10;509;485;485;480;509
