lp;ilość nukleotydów;l;długość;time[ms];użyte oligonukleotydy (z powtórzeniami);użyte oligonukleotydy;długość wynikowa;procent użytych;skoki
0;160;10;209;267;160;160;207;100;40
1;120;10;209;166;120;120;207;100;80
2;160;10;209;249;155;155;209;96;45
3;120;10;209;132;106;105;209;87;94
4;160;10;209;244;156;154;209;96;44
5;120;10;209;143;113;107;209;89;87
6;240;10;309;476;239;239;309;99;61
7;180;10;309;287;170;167;309;92;130
8;240;10;309;512;238;234;309;97;62
9;180;10;309;304;172;168;309;93;128
10;240;10;309;498;232;222;309;92;68
11;180;10;309;283;170;164;309;91;130
12;320;10;409;805;310;308;406;96;90
13;240;10;409;469;227;218;409;90;173
14;320;10;409;810;311;307;409;95;89
15;240;10;409;476;232;232;408;96;168
16;320;10;409;784;310;310;409;96;90
17;240;10;409;476;224;222;409;92;176
18;400;10;509;1241;397;397;509;99;103
19;300;10;509;683;281;277;507;92;219
20;400;10;509;1148;375;373;509;93;125
21;300;10;509;710;282;275;509;91;218
22;400;10;509;1183;385;378;509;94;115
23;300;10;509;689;282;282;504;94;218
24;498;10;509;1913;487;477;509;95;13
25;492;10;509;1828;492;486;509;98;8
26;488;10;509;1795;488;486;509;99;12
27;482;10;509;1775;478;471;509;97;22
28;468;10;509;1646;464;459;509;98;36
29;280;10;209;445;200;200;209;71;0
30;280;10;209;434;200;200;209;71;0
31;280;10;209;428;200;200;209;71;0
32;420;10;309;923;295;295;309;70;5
33;420;10;309;896;281;280;309;66;19
34;420;10;309;886;300;300;309;71;0
35;560;10;409;1515;400;400;409;71;0
36;560;10;409;1557;400;400;409;71;0
37;560;10;409;1530;386;386;409;68;14
38;700;10;509;2470;500;500;509;71;0
39;700;10;509;2461;500;500;509;71;0
40;700;10;509;2402;499;499;509;71;1
41;220;10;209;350;178;171;209;77;22
42;220;10;209;389;199;199;209;90;1
43;220;10;209;391;194;191;209;86;6
44;330;10;309;784;292;290;309;87;8
45;330;10;309;753;286;278;309;84;14
46;330;10;309;792;291;291;309;88;9
47;440;10;409;1280;381;380;407;86;19
48;440;10;409;1333;385;385;409;87;15
49;440;10;409;1237;382;378;409;85;18
50;550;10;509;1990;489;489;509;88;11
51;550;10;509;2076;483;483;506;87;17
52;550;10;509;1898;485;480;509;87;15
